account, text, date
"DracheOffiziell", "aber ob und wann das video kommt kann ich jetzt noch nicht sagen auch wird das nur ein ganz kurzes info video", "1442943250"
"DracheOffiziell", "ok leute es kam was dazwischen. kurz um video wird es doch erst wieder geben wen ich meine sachen wieder habe", "1443027360"
"DracheOffiziell", "Laut der Kripo in Nürnberg kann sich das aber bis zu 6 wochen hinziehen. ich rede noch mit meinem Anwald deswegen.", "1443027420"
"DracheOffiziell", "und kontakt zu leuten aufzubauen ohne handy ist kaum möglich und antworten bekomme ich aktuell keine mehr :(", "1443029640"
"DracheOffiziell", "ich persönlich habe echt schiß das die polizei alles von mir löscht und ich blötzlich nichts mehr habe. und von vorne anfangen muss.", "1443031978"
"DracheOffiziell", "???? LIVE auf #YouNow - https://www.younow.com/DrachenLord_1510/69454240/12681330/1021/b", "1443303600"
"DracheOffiziell", "Krass danke WOW", "1443313260"
"DracheOffiziell", "was ein Kindergarten die hater wieder veranstalten auf younow Lächerlich", "1443321960"
"DracheOffiziell", "???? LIVE auf #YouNow - https://www.younow.com/DrachenLord_1510/69509438/12681330/1021/b", "1443323760"
"DracheOffiziell", "Wen hater ihre dummheit unter beweis stellen", "1443376980"
"DracheOffiziell", "Metal Leute heute werde ich life ein interview geben bei http://berndian.net/ um 21:30 bin ich dabie", "1443377580"
"DracheOffiziell", "???? LIVE auf #YouNow - https://www.younow.com/DrachenLord_1510/69627168/12681330/1021/b", "1443392520"
"DracheOffiziell", "Schönen guten Abend meine Lieben drachis", "1443622680"
"DracheOffiziell", "Abendessen ich komme https://instagram.com/p/8QkBr6nbeB/", "1443624780"
"DracheOffiziell", "Welche Metal-Legende würdest du gerne mal treffen ? — Dio oder natürlich die gesamte Band Iran maiden und einige we… http://l.ask.fm/igoto/45DKECN75V62DDAUPY6IQO6H5WED5JI7RTPOXGVUJ677JIUUYESMWLAWPILZIXDDBH3LWQ2DLRWDSUCRQJ23WLH2GG7PHTRBUUMCVESSC5YDKI5ND2FDGOPWSS23XTTCTSLYCFQS2DGH7SMWIKKAETLPW3MGZ7FCYLMVP73FQSS36M6PAZZHXV7K3NMKP2OOYN6IYIC2UNE7XETWDU4FEH6AGDEA====", "1443628740"
"DracheOffiziell", "???? LIVE auf #YouNow - https://www.younow.com/DrachenLord_1510/69938572/12681330/1021/b", "1443632520"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @letsplaymarkus positiv bewertet: http://youtu.be/HDXvEiEeEWk?a  Let's Play Starfox Adventures - Part 37 -", "1443689220"
"DracheOffiziell", "gut nun werde ich das 10,000 abo spezial machen :)", "1443690720"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @pixelboomcg positiv bewertet: http://youtu.be/GYk0MZjLyas?a  Green Screen Terrifying Ghost Hangman Horror -", "1443691560"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @hdgreenstudio positiv bewertet: http://youtu.be/m_qANM3utoE?a  blue energy in green screen free stock", "1443691740"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @letsplaymarkus positiv bewertet: http://youtu.be/2fPv6vrxR14?a  Let's Play Starfox Adventures - Part 50 -", "1443702720"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @letsplaymarkus positiv bewertet: http://youtu.be/PFqW7P6Moh0?a  Let's Play Starfox Adventures - Part 52 -", "1443705300"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @lookslikelink positiv bewertet: http://youtu.be/T3D-NrPXykM?a  Let's Play Super Mario Maker", "1443710400"
"DracheOffiziell", "Hm ok also das jetzige abo spezial das ich nun in letzter Sekunde Komplet um geworfen habe und was anderes machen will wird extrem aufwendig", "1443712260"
"DracheOffiziell", "Leute ich fürchte einen Lifestream schaffe ich heute nicht mehr sorry. Werde wahrscheinlich bis nachts um 24 Uhr am 10,000 abo spezialsitzen", "1443717240"
"DracheOffiziell", "Kleiner Teaser vom 10,000 Abo Speziell https://instagram.com/p/8TkZAqHbcC/", "1443725640"
"DracheOffiziell", "ich habe beschlossen die ersten beiden Folgen von 4 Drachen einen neu Upload zu machen Wer ist Dafür ? #Drachen ja #Meddl Nein", "1443726300"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @lookslikelink positiv bewertet: http://youtu.be/xNeFMtHvbwg?a  Let's Play Zelda Ocarina of Time 3D", "1443726360"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @der_dpr positiv bewertet: http://youtu.be/cOyLg-Pphsk?a  PAPST-ROCK! - Metal Für Alle #17", "1443729960"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @glpupdate positiv bewertet: http://youtu.be/wjdZw5N7PKY?a  GermanLetsPlay & Zombey SCHLAGEN SICH BÄLLE IN", "1443732480"
"DracheOffiziell", "Also das Abo spezial wird jetzt hochgeladen kommt morgen mittag um 12", "1443734580"
"DracheOffiziell", "Lol noch zwei abos und wir haben echt 13,000 abos geschafft :)", "1443735420"
"DracheOffiziell", "Heute werde ich nicht streamen", "1443739500"
"DracheOffiziell", "Ok Weil es das 10,000 Abo Spezoal ist bekommt ihr es doch früher. Viel Spaß damit :) hoffe es gefällt euch http://youtu.be/YdQ1Msr2ZR0?a", "1443748080"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @glpupdate positiv bewertet: http://youtu.be/dO8wXU60jOE?a  DIE LEERE KANN DICH RETTEN! ☆ Happy Wheels", "1443801720"
"DracheOffiziell", "???? LIVE Mondkristall sendet auf #YouNow - Am chillen https://www.younow.com/Mondkristall/70166284/12681330/jwNZrLylqO/b", "1443823620"
"DracheOffiziell", "ok gute nacht leute haut rein Bis morgen :)", "1443823980"
"DracheOffiziell", "und schon wieder wurde ich verarscht man wie mich das abfuckt", "1443860400"
"DracheOffiziell", "Danke für mein neues banner an @KeinHumorOder", "1443867660"
"DracheOffiziell", "Ok in etwa eineinhalb stunden kommt die zweite folge von 4 Drachen neu onlin", "1443867900"
"DracheOffiziell", "???? LIVE @Batscandy sendet auf #YouNow - Beatscandy geht wieder echt  ab :) https://www.younow.com/BatsCandy/70273620/12681330/jwNZrLyxma/b", "1443869460"
"DracheOffiziell", "ok die zweite folge http://youtu.be/2nrcrcTALrQ?a ", "1443873060"
"DracheOffiziell", "Leute es wird morgen abend einen lifestream geben", "1443881280"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @iblaii positiv bewertet: http://youtu.be/k1JxHoUc5Ro?a  WTF? HANDY zum AUSSCHNEIDEN?! - iBlali", "1443882540"
"DracheOffiziell", "???? LIVE auf #YouNow - https://www.younow.com/DrachenLord_1510/70297551/12681330/1021/b", "1443886560"
"DracheOffiziell", "so werde jetzt Minecraft LP aufnehmen vieleicht sogar badwars", "1443897900"
"DracheOffiziell", "DracheOffiziell just went live! http://hitbox.tv/DracheOffiziell  via @hitboxlive", "1443903300"
"DracheOffiziell", "ein wenig http://agar.io/  zocken :)", "1443913260"
"DracheOffiziell", "Aufklährung ich glaube das Franzi/Dana hater sind not weil sie sämtlichen hatern folgen sondern sie es mir nicht sagten und mich geblockthab", "1443922020"
"DracheOffiziell", "???? LIVE auf #YouNow - https://www.younow.com/DrachenLord_1510/70386930/12681330/1021/b", "1443922920"
"DracheOffiziell", "???? LIVE auf #YouNow - https://www.younow.com/DrachenLord_1510/70392518/12681330/1021/b", "1443925440"
"DracheOffiziell", "Liege jetzt im Bett denke über den Tag nach eine Person löscht sich ohne Spuren zu hinterlassen und zwei weitere habe mich hintergangen yeay", "1443930540"
"DracheOffiziell", "Voll an meiner webseite am rumbasteln :) http://www.drachenlord1510.eu/DL/", "1444095360"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @gronkh positiv bewertet: http://youtu.be/bGqIWWrxnnI?a  SOMA [010] - Der kleine Meerjungmann ★ Let's Play", "1444650060"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @chanmachtso positiv bewertet: http://youtu.be/ukyb5wLItGI?a  Ein ORT für Gamer l ZU cool für MUNICH -", "1444662540"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @lookslikelink positiv bewertet: http://youtu.be/hkG_7jRGPCw?a  Let's Play Zelda Ocarina of Time 3D", "1444672620"
"DracheOffiziell", "???? LIVE @Der_DPR sendet auf #YouNow - der Dunkle Parabelritter online :) https://www.younow.com/Der_Dunkle_Parabelritter/71438206/12681330/jwNZrL1KqJ/b", "1444673100"
"DracheOffiziell", "Gut Video für morgen rendert jetzt schon wirt sogar ein zweiteiler :)", "1444673520"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @lefloid positiv bewertet: http://youtu.be/InNHAKiN6M0?a  TTIP-Demo in Berlin // Merkel verklagen // Nenn", "1444690320"
"DracheOffiziell", "Ich habe ein @YouTube-Video positiv bewertet: http://youtu.be/0YGfS9ylvXo?a  DIE UNANGEBRACHTESTEN NACHRICHTEN IN KINDERSENDUNGEN!", "1444691460"
"DracheOffiziell", "#FragDrache Matrix Steil: http://youtu.be/fHc3bUbeho8?a  über @YouTube", "1444732320"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @lookslikelink positiv bewertet: http://youtu.be/Kd-1LLSKOsM?a  Let's Play Super Mario Maker", "1444755720"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @lookslikelink positiv bewertet: http://youtu.be/NR9UFe41KfM?a  Let's Play Zelda Ocarina of Time 3D", "1444755900"
"DracheOffiziell", "Da glaubt man man hat den einen menschen gefunden. Und dann obwohl es aufrichtig ist bekommt man keine Chance es zu beweisen :.(", "1444757160"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @lookslikelink positiv bewertet: http://youtu.be/no1CwKaa9HI?a  Worte des Dankes | Seit 6 Jahren Let's Player", "1444758120"
"DracheOffiziell", "Fortsetzungs Video Kommt Morgen Rendert Schon", "1444767240"
"DracheOffiziell", "Ok Dreh ist fertig und hochladen von der fortsetzung von #FragDrache Leuft schon ne weile. wen ich Fertig bin kommen diese woche echt4Videos", "1444784040"
"DracheOffiziell", "Ich habe ein @YouTube-Video positiv bewertet: http://youtu.be/DDDlxmsciqY?a  Amazing Grace - Rhema 7yr old Gospel singer plz ""Share""", "1444786080"
"DracheOffiziell", "#FragDrache Matrix Realoded: http://youtu.be/ZWRDUJ6s_us?a  über @YouTube", "1444800900"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @lookslikelink positiv bewertet: http://youtu.be/xKJbyTpLkZw?a  Let's Play Super Mario Maker", "1444829460"
"DracheOffiziell", "???? LIVE auf #YouNow - https://www.younow.com/DrachenLord_1510/71638159/12681330/jwNZrL2zjm/b", "1444830240"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @lookslikelink positiv bewertet: http://youtu.be/S0kuk3dHWMo?a  Let's Play Zelda Ocarina of Time 3D", "1444839000"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @lookslikelink positiv bewertet: http://youtu.be/M171FkYwI-k?a  Let's Play Zelda Ocarina of Time 3D", "1445438580"
"DracheOffiziell", "Ich habe ein @YouTube-Video positiv bewertet: http://youtu.be/YHLDX5dNgqo?a  HEFTIGSTER AUSRASTER MIT RAGEQUIT | CASTLE RUSH MIT UNGE |", "1445448900"
"DracheOffiziell", "Ach da haben doch mal wieder leute mein video gemeldet weil sie geglaubt haben das recht dran zu haben schon mal was von Sarkasmu gehört?", "1445467020"
"DracheOffiziell", "das video #FragDrache Schaf auf dem Mond XP Locker bleiben alter Wird bald wieder online sein sorry wegen dem verschwinden. Tja Hater :)", "1445467140"
"DracheOffiziell", "Eine der Fliesen in meinem Badezimmer https://instagram.com/p/9HoThRHbRF/", "1445472480"
"DracheOffiziell", "Liege im Bett halb am pennen und lese Tweet ich amüsiere mich königlich", "1445473800"
"DracheOffiziell", "gute Nacht mein Drachis", "1445476200"
